,date,actions
0,2022-04-04,[100]
1,2022-04-05,[100]
2,2022-04-06,[100]
3,2022-04-07,[100]
4,2022-04-08,[100]
5,2022-04-11,[100]
6,2022-04-12,[100]
7,2022-04-13,[100]
8,2022-04-14,[100]
9,2022-04-18,[100]
10,2022-04-19,[100]
11,2022-04-20,[100]
12,2022-04-21,[100]
13,2022-04-22,[100]
14,2022-04-25,[100]
15,2022-04-26,[100]
16,2022-04-27,[100]
17,2022-04-28,[41]
18,2022-04-29,[0]
19,2022-05-02,[0]
20,2022-05-03,[0]
21,2022-05-04,[0]
22,2022-05-05,[0]
23,2022-05-06,[0]
24,2022-05-09,[0]
25,2022-05-10,[0]
26,2022-05-11,[0]
27,2022-05-12,[0]
28,2022-05-13,[0]
29,2022-05-16,[0]
30,2022-05-17,[0]
31,2022-05-18,[0]
32,2022-05-19,[0]
33,2022-05-20,[0]
34,2022-05-23,[0]
35,2022-05-24,[0]
36,2022-05-25,[0]
37,2022-05-26,[0]
38,2022-05-27,[0]
39,2022-05-31,[0]
40,2022-06-01,[0]
41,2022-06-02,[0]
42,2022-06-03,[0]
43,2022-06-06,[0]
44,2022-06-07,[0]
45,2022-06-08,[0]
46,2022-06-09,[0]
47,2022-06-10,[0]
48,2022-06-13,[0]
49,2022-06-14,[0]
50,2022-06-15,[0]
51,2022-06-16,[0]
52,2022-06-17,[0]
53,2022-06-21,[0]
54,2022-06-22,[0]
55,2022-06-23,[0]
56,2022-06-24,[0]
57,2022-06-27,[0]
58,2022-06-28,[0]
59,2022-06-29,[0]
60,2022-06-30,[0]
61,2022-07-01,[0]
