account_rewards,date
-246.06998901371844,2022-01-03
-961.7446014403831,2022-01-04
-882.2717468261253,2022-01-05
50.16685485839844,2022-01-06
-7.120745849562809,2022-01-07
1695.2072952270973,2022-01-10
293.75768127443735,2022-01-11
-2655.760325622512,2022-01-12
765.0589797974098,2022-01-13
-3246.0478134155273,2022-01-14
-3894.4447052001487,2022-01-18
-2054.5246231078636,2022-01-19
-2711.9353469848866,2022-01-20
-1108.163533020066,2022-01-21
-2741.277967834496,2022-01-24
-157.96487121586688,2022-01-25
-804.7836822509998,2022-01-26
19731.213963317918,2022-01-27
-302.74422912602313,2022-01-28
-34.04472808842547,2022-01-31
225.66596679692157,2022-02-01
-888.2860534668434,2022-02-02
-131.7579528808128,2022-02-03
-377.9069549560081,2022-02-04
1863.5211135863792,2022-02-07
986.2408401488792,2022-02-08
-3307.8218933105236,2022-02-09
-3113.6239730834495,2022-02-10
220.61596832273062,2022-02-11
4235.698440551758,2022-02-14
-301.8127746582031,2022-02-15
-4734.162094116211,2022-02-16
-2203.705856323242,2022-02-17
-4436.066120910691,2022-02-18
-6739.390870666481,2022-02-22
4471.913420105004,2022-02-23
3739.009359741234,2022-02-24
490.8530502319336,2022-02-25
-3812.9257781982888,2022-02-28
6960.141554260277,2022-03-01
-734.2137817383045,2022-03-02
-6974.974003601121,2022-03-03
-9199.164866638137,2022-03-04
-4613.185011291527,2022-03-07
14148.475021362305,2022-03-08
-11841.918077087379,2022-03-09
-10507.811566162156,2022-03-10
-11799.557208252023,2022-03-11
13243.546289062593,2022-03-14
13777.055146789411,2022-03-15
3242.9615493775345,2022-03-16
10946.840731811477,2022-03-17
4690.070845031762,2022-03-18
11887.632925415062,2022-03-21
4930.781886291457,2022-03-22
14103.761521911714,2022-03-23
2424.8184829710517,2022-03-24
3376.0634231567383,2022-03-25
13270.78537445073,2022-03-28
-4841.587539672852,2022-03-29
-13139.62814788823,2022-03-30
-1292.842024230864,2022-03-31
