account_rewards,date
1724.2264465332264,2022-10-04
-5540.010987853981,2022-10-05
-29903.4785751343,2022-10-06
1800.4015808105469,2022-10-07
-7788.269062805222,2022-10-10
-3405.623841857887,2022-10-11
24169.09774322505,2022-10-12
-23531.811471557594,2022-10-13
20145.494456481887,2022-10-14
6555.947758483933,2022-10-17
514.1900634765625,2022-10-18
-2225.4503601074684,2022-10-19
17855.665042114328,2022-10-20
9809.549510192941,2022-10-21
12722.437071227934,2022-10-24
-12896.62175903318,2022-10-25
-19165.953434753348,2022-10-26
44947.912857055664,2022-10-27
-9641.265673828195,2022-10-28
-10537.331034851144,2022-10-31
-21440.885420226958,2022-11-01
-22851.017112731934,2022-11-02
-991.1505020142067,2022-11-03
1887.4422912597656,2022-11-04
1970.6944015503395,2022-11-07
-15395.515928650042,2022-11-08
38660.76025695808,2022-11-09
-473.3399642180884,2022-11-10
0.0,2022-11-11
0.0,2022-11-14
0.0,2022-11-15
0.0,2022-11-16
0.0,2022-11-17
0.0,2022-11-18
0.0,2022-11-21
0.0,2022-11-22
0.0,2022-11-23
0.0,2022-11-25
0.0,2022-11-28
0.0,2022-11-29
0.0,2022-11-30
0.0,2022-12-01
0.0,2022-12-02
0.0,2022-12-05
0.0,2022-12-06
0.0,2022-12-07
0.0,2022-12-08
0.0,2022-12-09
0.0,2022-12-12
0.0,2022-12-13
0.0,2022-12-14
0.0,2022-12-15
0.0,2022-12-16
0.0,2022-12-19
0.0,2022-12-20
0.0,2022-12-21
0.0,2022-12-22
0.0,2022-12-23
0.0,2022-12-27
0.0,2022-12-28
0.0,2022-12-29
0.0,2022-12-30
