account_value,date,daily_return
1000000.0,2022-01-03,
999753.9300109863,2022-01-04,-0.00024606998901366417
998792.1854095459,2022-01-05,-0.0009619813161723112
997909.9136627198,2022-01-06,-0.0008833386561433176
997960.0805175782,2022-01-07,5.0271927527267835e-05
997952.9597717286,2022-01-10,-7.135301289706852e-06
999648.1670669557,2022-01-11,0.00169868457087885
999941.9247482301,2022-01-12,0.0002938610712770462
997286.1644226076,2022-01-13,-0.0026559145685297603
998051.223402405,2022-01-14,0.0007671408739942098
994805.1755889895,2022-01-18,-0.0032523859871135263
990910.7308837894,2022-01-19,-0.00391478130669598
988856.2062606815,2022-01-20,-0.00207337004139152
986144.2709136966,2022-01-21,-0.002742497169775482
985036.1073806765,2022-01-24,-0.001123733682489747
982294.829412842,2022-01-25,-0.002782921303386421
982136.8645416262,2022-01-26,-0.0001608120764621246
981332.0808593752,2022-01-27,-0.0008194211125824857
1001063.2948226931,2022-01-28,0.020106561630023112
1000760.5505935671,2022-01-31,-0.0003024226646723971
1000726.5058654787,2022-02-01,-3.401885502807289e-05
1000952.1718322756,2022-02-02,0.0002255021381709632
1000063.8857788087,2022-02-03,-0.0008874410570894886
999932.1278259279,2022-02-04,-0.00013174953595906924
999554.2208709719,2022-02-07,-0.00037793260606366896
1001417.7419845583,2022-02-08,0.0018643522028876092
1002403.9828247072,2022-02-09,0.0009848445846329934
999096.1609313966,2022-02-10,-0.0032998890167906803
995982.5369583132,2022-02-11,-0.0031164407339737688
996203.1529266359,2022-02-14,0.00022150585992841698
1000438.8513671877,2022-02-15,0.00425184203453699
1000137.0385925295,2022-02-16,-0.00030168038181022094
995402.8764984133,2022-02-17,-0.004733513420099422
993199.17064209,2022-02-18,-0.0022138833515081835
988763.1045211793,2022-02-22,-0.004466441628261597
982023.7136505129,2022-02-23,-0.006815981340576149
986495.6270706179,2022-02-24,0.004553773353885182
990234.6364303591,2022-02-25,0.003790193546872711
990725.489480591,2022-02-28,0.0004956936792288591
986912.5637023927,2022-03-01,-0.0038486198434213303
993872.705256653,2022-03-02,0.0070524399123559345
993138.4914749147,2022-03-03,-0.0007387402610565807
986163.5174713136,2022-03-04,-0.007023163499828233
976964.3526046755,2022-03-07,-0.009328234824815151
972351.1675933839,2022-03-08,-0.004721958379537927
986499.6426147462,2022-03-09,0.014550787300827261
974657.7245376589,2022-03-10,-0.01200397604372161
964149.9129714967,2022-03-11,-0.01078102733053976
952350.3557632447,2022-03-14,-0.012238301377724525
965593.9020523073,2022-03-15,0.013906170359382797
979370.9571990967,2022-03-16,0.014267959975210243
982613.9187484742,2022-03-17,0.003311269877403822
993560.7594802857,2022-03-18,0.011140530907351787
998250.8303253175,2022-03-21,0.004720467067847123
1010138.4632507325,2022-03-22,0.011908462847499912
1015069.245137024,2022-03-23,0.004881293075826187
1029173.0066589357,2022-03-24,0.013894383648681785
1031597.8251419067,2022-03-25,0.0023560844165966266
1034973.8885650635,2022-03-28,0.003272654653660556
1048244.6739395142,2022-03-29,0.012822338342129536
1043403.0863998414,2022-03-30,-0.004618757108945992
1030263.4582519531,2022-03-31,-0.012593050872817702
1028970.6162277223,2022-04-01,-0.0012548654558945938
