account_value,date,daily_return
875026.4601237489,2022-10-04,
876750.6865702821,2022-10-05,0.001970484922581006
871210.6755824281,2022-10-06,-0.006318798573772044
841307.1970072938,2022-10-07,-0.03432404975426062
843107.5985881044,2022-10-10,0.002140004967525533
835319.3295252991,2022-10-11,-0.009237574273850302
831913.7056834413,2022-10-12,-0.004077032245612289
856082.8034266663,2022-10-13,0.02905240961665534
832550.9919551087,2022-10-14,-0.027487774987847158
852696.4864115906,2022-10-17,0.02419731001601888
859252.4341700745,2022-10-18,0.007688489237329232
859766.6242335511,2022-10-19,0.0005984156029459342
857541.1738734436,2022-10-20,-0.00258843539325726
875396.838915558,2022-10-21,0.02082193320404868
885206.3884257509,2022-10-24,0.011205831543034783
897928.8254969788,2022-10-25,0.01437228338789276
885032.2037379456,2022-10-26,-0.014362632530362629
865866.2503031923,2022-10-27,-0.021655656544254165
910814.163160248,2022-10-28,0.05191091908400014
901172.8974864198,2022-10-31,-0.010585326912765591
890635.5664515686,2022-11-01,-0.011692907170468891
869194.6810313417,2022-11-02,-0.02407369099984502
846343.6639186097,2022-11-03,-0.026289872236238354
845352.5134165955,2022-11-04,-0.0011710969719146425
847239.9557078553,2022-11-07,0.0022327280765173096
849210.6501094056,2022-11-08,0.0023260168365215605
833815.1341807556,2022-11-09,-0.018129207313481777
872475.8944377137,2022-11-10,0.046366105233797805
872002.5544734956,2022-11-11,-0.0005425249766047857
872002.5544734956,2022-11-14,0.0
872002.5544734956,2022-11-15,0.0
872002.5544734956,2022-11-16,0.0
872002.5544734956,2022-11-17,0.0
872002.5544734956,2022-11-18,0.0
872002.5544734956,2022-11-21,0.0
872002.5544734956,2022-11-22,0.0
872002.5544734956,2022-11-23,0.0
872002.5544734956,2022-11-25,0.0
872002.5544734956,2022-11-28,0.0
872002.5544734956,2022-11-29,0.0
872002.5544734956,2022-11-30,0.0
872002.5544734956,2022-12-01,0.0
872002.5544734956,2022-12-02,0.0
872002.5544734956,2022-12-05,0.0
872002.5544734956,2022-12-06,0.0
872002.5544734956,2022-12-07,0.0
872002.5544734956,2022-12-08,0.0
872002.5544734956,2022-12-09,0.0
872002.5544734956,2022-12-12,0.0
872002.5544734956,2022-12-13,0.0
872002.5544734956,2022-12-14,0.0
872002.5544734956,2022-12-15,0.0
872002.5544734956,2022-12-16,0.0
872002.5544734956,2022-12-19,0.0
872002.5544734956,2022-12-20,0.0
872002.5544734956,2022-12-21,0.0
872002.5544734956,2022-12-22,0.0
872002.5544734956,2022-12-23,0.0
872002.5544734956,2022-12-27,0.0
872002.5544734956,2022-12-28,0.0
872002.5544734956,2022-12-29,0.0
872002.5544734956,2022-12-30,0.0
872002.5544734956,2023-01-03,0.0
