account_rewards,date
20378.714887435897,2022-07-06
4117.681666748016,2022-07-07
-12822.561718322686,2022-07-08
5819.416251220624,2022-07-11
-2226.582996185287,2022-07-12
17824.60711810307,2022-07-13
9985.444644164992,2022-07-14
-18402.99379473878,2022-07-15
23496.77026966866,2022-07-18
12199.996337890625,2022-07-19
13815.24658203125,2022-07-20
-7535.5303955078125,2022-07-21
-6720.235311889672,2022-07-22
-8088.815060424851,2022-07-25
30509.969122314476,2022-07-26
3332.39202658087,2022-07-27
30623.153253265307,2022-07-28
-5983.28358694457,2022-07-29
-8964.753112792969,2022-08-01
36184.92578855902,2022-08-02
-1887.60055339057,2022-08-03
-1391.0495234527625,2022-08-04
-2871.4193115234375,2022-08-05
288.4383728028042,2022-08-08
25833.677089691162,2022-08-09
-4428.779469299363,2022-08-10
21097.910839294433,2022-08-11
6459.743715332006,2022-08-12
-963.0666113891639,2022-08-15
9081.070242797956,2022-08-16
-2367.6873641968705,2022-08-17
-15731.33874206536,2022-08-18
-23617.382844177308,2022-08-19
-2030.236076660105,2022-08-22
1781.109317779541,2022-08-23
14941.807768478408,2022-08-24
-38324.764709472656,2022-08-25
-13392.772064208984,2022-08-26
-14538.963644409203,2022-08-29
-10067.092482788139,2022-08-30
4414.025732925511,2022-08-31
-12635.769619751023,2022-09-01
-7493.3028268432245,2022-09-02
8494.776832580566,2022-09-06
-8979.160787109402,2022-09-07
17106.23424224858,2022-09-08
36228.89563110343,2022-09-09
-56422.1602523803,2022-09-12
8665.94357521052,2022-09-13
-17060.168153381324,2022-09-14
-9826.328686523484,2022-09-15
22574.168309021043,2022-09-16
14495.423161697341,2022-09-19
-18799.004880249035,2022-09-20
-5868.046388702351,2022-09-21
-13594.896509124781,2022-09-22
2017.5352432251675,2022-09-23
5804.944662475609,2022-09-26
-11363.143422729569,2022-09-27
-44126.14291360474,2022-09-28
-25571.382438354427,2022-09-29
25041.294502563425,2022-09-30
